name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Mad Science Zuid-Holland·Lien consulté,"Innsbruckweg 41, 3047 AG Rotterdam",nederland.madscience.org,088 030 3350,,5.0,51.9451291,-0.2014624
Team DigiAZ Education·Lien consulté,,edu.digiaz.nl,,,,51.9451291,-0.2014624
Nederlandse Taal Training·Lien consulté,,,06 49656941,,,51.9451291,-0.2014624
Dutch Courses Rotterdam·Lien consulté,"Benthuizerstraat 30C, 3036 CH Rotterdam",dutchcoursesrotterdam.com,06 15638548,,4.9,51.9451291,-0.2014624
Judina Keramiek ~ pottenbakkerij·Lien consulté,"Graaf Jan van Nassaustraat 13A, 3051 GD Rotterdam",judina.nl,06 42567883,,3.9,51.9451291,-0.2014624
StudioFG·Lien consulté,,studiofg.nl,,,,51.9451291,-0.2014624
BHV Zuid Holland·Lien consulté,"Zinkwerf 85, 2544 EC Den Haag",bhvzuidholland.nl,070 324 8003,,4.9,51.9451291,-0.2014624
1001 Creatieve Workshops·Lien consulté,"Sportlaan 12A, 4131 NN Vianen",1001creatieveworkshops.nl,030 657 9445,,,51.9451291,-0.2014624
TypeOlymp·Lien consulté,,typeolymp.com,,,4.7,47.73855,7.8945697
Talencentrum Holland·Lien consulté,"George Gershwinlaan 315, 1082 MT Amsterdam",talencentrumholland.nl,06 23464253,,5.0,52.3358294,0.2575159
Atelier de Kopstoof - creatieve workshops·Lien consulté,"Dorpsstraat 7a, 3366 BC Wijngaarden",dekopstoof.nl,,,4.8,52.3358294,0.2575159
NTT Nederlandse Taal Training·Lien consulté,,linkedin.com,06 49656941,,,52.3358294,0.2575159
Dutch Classes Rotterdam·Lien consulté,"Weena 25, 3013 CB Rotterdam",dutchclasses.nl,06 12883300,,5.0,52.3358294,0.2575159
Handletters.nl·Lien consulté,"Cort Van der Lindenstraat 18, 2288 EV Rijswijk",,06 41907809,,5.0,52.3358294,0.2575159
MindColours. Actieve Training en Coaching·Lien consulté,,mindcolours.nl,,,,52.3358294,0.2575159
Dutch Courses Amsterdam·Lien consulté,"Postjesweg 57, 1057 DW Amsterdam",dutchcoursesamsterdam.nl,06 54992219,,4.9,52.3358294,0.2575159
Carta Training·Lien consulté,,cartatraining.nl,06 21877439,,,52.3358294,0.2575159
Transparant Training·Lien consulté,,transparanttraining.nl,06 37272844,,5.0,52.3358294,0.2575159
Leercentrum·Lien consulté,,leercentrum.nl,,,5.0,52.3358294,0.2575159
Bob van Schie Keramiek·Lien consulté,,bobvanschie.nl,06 51692597,,,52.3358294,0.2575159
