name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Presentatietraining Herman Otten·Lien consulté,"Pieter Cornelisz Hooftstraat 183, 1071 BW Amsterdam",hermanotten.nl,,,4.9,52.1412055,4.4400814
Gettinvolved Trainings Europe·Lien consulté,"Jagtlustkade 12C, 2171 AG Sassenheim",gettinvolved.com,06 83238046,,5.0,52.2167046,3.9302606
Vondelpark Atelier·Lien consulté,"Stadhouderskade 96HS, 1073 AW Amsterdam",vondelparkatelier.nl,06 20076440,,4.9,52.3575975,4.3193136
Dutch Courses Rotterdam·Lien consulté,"Benthuizerstraat 30C, 3036 CH Rotterdam",dutchcoursesrotterdam.com,06 15638548,,4.9,51.9370854,3.9031425
Masterclass Dutch - Nederlandse Taalcursus / Dutch Courses / NT2 / Inburgering / Intensive Dutch Courses in Rotterdam·Lien consulté,"Botersloot 9C, 3011 HE Rotterdam",masterclassdutch.com,010 753 2037,,4.7,51.9370854,3.9031425
Lesruimte Amsterdam·Lien consulté,"Utrechtsedwarsstraat 13, 1 hoog, 1017 WB Amsterdam",lesruimteamsterdam.nl,06 24554296,,4.7,52.3612304,4.3203211
Clay Studio Leiden·Lien consulté,"Haagweg 4, F14, 2311 AA Leiden",claystudioleiden.com,,,4.9,52.1593669,3.9021203
Direct Dutch Institute·Lien consulté,"Laan van Nieuw Oost-Indië 275, 2593 BS Den Haag",directdutch.com,070 365 4677,,4.6,52.1593669,3.9021203
ABC English Language Academy·Lien consulté,"Haagsche Bluf 7, 2511 CN Den Haag",abcenglish.nl,06 20179989,,4.9,52.1593669,3.9021203
Ignited Minds Netherlands·Lien consulté,"Schootsveld 21, 1423 ND De Kwakel",ignitedmindsnetherlands.com,06 59437401,,5.0,52.2404726,4.2364778
Dutch Classes Rotterdam·Lien consulté,"Weena 25, 3013 CB Rotterdam",dutchclasses.nl,06 12883300,,5.0,51.9249664,3.900161
Atelier Evangelos·Lien consulté,"Witte de Withstraat 43-45, 2518 CP Den Haag",atelierevangelos.com,06 16596225,,5.0,51.9249664,3.900161
Bols Cocktail Academy·Lien consulté,"Paulus Potterstraat 14, 1071 CZ Amsterdam",bols.com,020 570 8575,,5.0,52.359057,4.3044978
Workshop.nl·Lien consulté,"Egelenburg 2, 1081 GK Amsterdam",workshop.nl,,,4.8,52.359057,4.3044978
Tim van der Vliet·Lien consulté,"Staringplein 3H, 1054 VJ Amsterdam",timvandervliet.com,06 26736170,,5.0,52.359057,4.3044978
Glamour Makeup International Academy·Lien consulté,"Koninginnegracht 101, 3rd floor, 2514 AL Den Haag",glamourmakeup.nl,06 27112415,,4.9,52.0948442,3.7306043
"HMC vocational school for wood, furniture and interior·Lien consulté","Erasmuspad 10, 3052 KP Rotterdam",hmcollege.nl,010 285 5555,,4.1,52.0948442,3.7306043
Jordana Ceramics - Pottenbakken·Lien consulté,"Lulofsstraat 55, Unit 13, 2521 AL Den Haag",jordanaceramics.nl,06 10996533,,5.0,52.0948442,3.7306043
PresentThing·Lien consulté,"G.W. Burgerplein 14, 3021 AV Rotterdam",presentthing.nl,06 28850619,,5.0,52.0948442,3.7306043
Safe Haven Training·Lien consulté,"Ambachtsweg 59, office no. 5, 1271 AL Huizen",safehaventraining.nl,,,5.0,52.3086586,4.6684126
