name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Dutch Courses Rotterdam·Lien consulté,"Benthuizerstraat 30C, 3036 CH Rotterdam",dutchcoursesrotterdam.com,06 15638548,,4.9,51.9370854,-0.1343331
Dutch Classes Rotterdam·Lien consulté,"Weena 25, 3013 CB Rotterdam",dutchclasses.nl,06 12883300,,5.0,51.9370854,-0.1343331
Mad Science Zuid-Holland·Lien consulté,"Innsbruckweg 41, 3047 AG Rotterdam",nederland.madscience.org,088 030 3350,,5.0,51.9370854,-0.1343331
Nederlandse Taal Training·Lien consulté,,,06 49656941,,,51.9370854,-0.1343331
Gschool·Lien consulté,,gschool.nl,070 800 2100,,,51.9370854,-0.1343331
Team DigiAZ Education·Lien consulté,,edu.digiaz.nl,,,,51.9370854,-0.1343331
StudioFG·Lien consulté,,studiofg.nl,,,,51.9370854,-0.1343331
react cursus·Lien consulté,"Barend Hooykaasstraat 6, 2662 EH Bergschenhoek",react-cursus.nl,06 39444140,,1.0,51.9370854,-0.1343331
NTT Nederlandse Taal Training·Lien consulté,,linkedin.com,06 49656941,,,51.9370854,-0.1343331
Transparant Training·Lien consulté,,transparanttraining.nl,06 37272844,,5.0,51.9370854,-0.1343331
TypeOlymp·Lien consulté,,typeolymp.com,,,4.7,47.73855,7.8945697
BHV Zuid Holland·Lien consulté,"Zinkwerf 85, 2544 EC Den Haag",bhvzuidholland.nl,070 324 8003,,4.9,52.0436178,-0.371326
The Hague Short Courses·Lien consulté,"Fluwelen Burgwal 58, 2511 CJ Den Haag",,070 762 0700,,,52.0436178,-0.371326
Atelier de Kopstoof - creatieve workshops·Lien consulté,"Dorpsstraat 7a, 3366 BC Wijngaarden",dekopstoof.nl,,,4.8,52.0436178,-0.371326
HCC Gouda·Lien consulté,"Ridder van Catsweg 300, 2804 RS Gouda",zuid-holland.hcc.nl,,,4.0,52.0436178,-0.371326
"Flowently, Language training for growing companies & busy individuals·Lien consulté","Azartplein 79, 1019 PB Amsterdam",flowently.com,06 41339323,,5.0,52.0436178,-0.371326
NLtraining·Lien consulté,"Strevelsweg 700, 3083 AS Rotterdam",nltraining.nl,010 303 3214,,2.3,52.0436178,-0.371326
Wild Code School - Web Development Training Courses·Lien consulté,"Pieter de Hoochstraat 80, 1071 EJ Amsterdam",wildcodeschool.com,,,5.0,52.0436178,-0.371326
Handletters.nl·Lien consulté,"Cort Van der Lindenstraat 18, 2288 EV Rijswijk",,06 41907809,,5.0,52.0436178,-0.371326
Watercolour Workshops in Rotterdam│Anli Liu Art·Lien consulté,,anliliuart.com,,,5.0,52.0436178,-0.371326
